CIK,Company_Name,Analysis_Date,Passes_All_Filters,ROE_Above_15,Consistent_Growth,Debt_Equity_Below_8pct,Management_Ownership_Above_5pct,Moat_Score,Market_Share_Stability,Patent_Portfolio,Customer_Retention,Pricing_Power,Margin_of_Safety,Bear_Value,Base_Value,Bull_Value,Benfords_Score,CAPEX_Depreciation,True_Owner_Earnings,ROE_5_Year_Avg,Debt_Equity_Ratio
0001000209,MEDALLION FINANCIAL CORP,2025-05-30,False,False,False,False,False,6.971895306569573,7.599025883351695,5.351417724090346,7.993495613621874,7.281605132774161,0.0,104.60402704777653,78.62803855240067,161.95623213443199,0.8302716339255998,2.0649365632278354,3540989355.6267056,17.408722139096792,73.38167270120643
0001000623,"MATIV HOLDINGS, INC.",2025-05-30,False,True,False,False,True,7.470091244406667,8.612867053722802,6.001861761780475,7.039049122064768,8.165760699704503,0.0,16.064496632431137,12.2980226291143,23.514698609616037,0.7525835450628373,1.0799279588481543,4918092908.099381,20.116610809064195,126.38382259271373
0001001250,ESTEE LAUDER COMPANIES INC,2025-05-30,False,False,False,False,True,7.132462535969478,6.842980360857428,7.0088280646069006,8.085784483321483,6.754650755801393,0.0,16.74410307668418,13.234794961353279,21.971194527512306,0.7912488720099705,3.2300203533630847,4438850747.420568,19.13781245617727,37.402934561935865
0001004724,"REGIONAL HEALTH PROPERTIES, INC",2025-05-30,False,False,False,False,True,7.565580489213893,6.752357368517192,7.562114141174774,9.3533112851782,7.253410424189431,0.0,18.8674418324836,13.649152039494332,32.460283521889984,0.889949750217875,1.512259125627189,1944478503.7874558,19.932013298171796,17.807842340845507
0001007019,COFFEE HOLDING CO INC,2025-05-30,False,False,False,False,True,8.072894515087677,7.2203526134513005,8.573291363793468,9.350305957627631,7.427048690435899,0.0,14.880642413675297,10.927769665009782,24.609324875350477,0.8022199030117851,1.5473086551629769,2591228969.6910105,16.050057754997265,72.50981366812455
0000101295,UNITED GUARDIAN INC,2025-05-30,False,False,False,False,True,7.548619466121644,8.73593144536832,6.327402027616284,7.4136924031218845,6.732877990650533,0.0,24.704307660826725,19.411001045553338,33.12124467229211,0.8791561286468546,2.9755428450002714,3960212730.865842,17.603170865181777,30.278560113628615
0001021642,"VAUGHAN NELSON INVESTMENT MANAGEMENT, L.P.",2025-05-30,False,False,False,False,True,6.845797458690773,6.9332673881486695,5.675431371862716,8.285302596497965,7.128005725728972,0.0,189.88639311703866,145.56117946888523,276.7584926719912,0.7510680096309719,0.9072659745997174,9456879732.458128,17.38354777044208,15.24171876629094
0001022079,QUEST DIAGNOSTICS INC,2025-05-30,False,False,False,False,False,7.213708090724616,7.2717384507069385,7.444592958864903,7.322364408119513,6.071619411584676,0.0,126.85495920007861,98.74390216712267,175.74474037031453,0.8857337257318328,1.6553307678971128,9387476548.379723,13.786365481404061,271.96141458362536
0001027796,PZENA INVESTMENT MANAGEMENT LLC,2025-05-30,False,False,False,True,False,7.22673938248702,8.099401018419993,6.433914687402392,7.465561901812335,5.636921885358386,0.0,58.98511234094457,45.619540377389406,83.51250326155876,0.7706828935230337,0.20573160689149647,9084975856.409376,17.717653592750427,2.449153097877454
0000102909,VANGUARD GROUP INC,2025-05-30,False,False,False,False,False,7.09734586182125,6.845627477633574,7.268591581394191,7.145717856103464,7.49373825128869,0.0,14.686753018980502,11.085374770978662,22.460461546128084,0.9261839874978804,0.7148770863016223,3358805669.7880106,14.019420752142322,21.618264682109743
